ID;Correct_Word;Error_Word;Damerau-Lenventein_Distance;Correct_Word_Freq;Error_Word_ Freq;Correct_Word_Lenght;Error_Word_Lenght;Error_postion;Syllable_Error_position;Correct-word-syllables;correct_syllable;Error_Type;Real_World_Error;First-Letter;Last-Letter;Correct_Letter;Error_Letter;Mirror_correct_letter;Mirror_error_letter;Rotation_correct_letter;Rotation_error_letter;Fuzzy_correct_letters;Fuzzy_error_letter;Error_Phonetic_Feature;;;;;;;;;;;;;;;;;;;;;
1;Bank;Bak;1;305.000.000;436;4;3;3;1;1;CVCC;omission;NO;NO;NO;n;-;Y;N;N;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
2;Bus;Pos;2;283.000.000;32.000.000;3;3;-;-;-;-;multierror;NO;YES;NO;"B;u";"P;o";"N;Y";"N;N";"N;N";"N;N";"N;Y";"N;Y";sound_distinction;;;;;;;;;;;;;;;;;;;;;
3;Bus;Pus;1;283.000.000;419;3;3;1;1;1;CVC;substitution;NO;YES;NO;B;P;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
4;Bus;Bos;1;283.000.000;1.020.000;3;3;2;1;1;CVC;substitution;NO;NO;NO;u;o;Y;N;N;N;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
5;Nest;Nes;1;11.000.000;21.600.000;4;3;4;1;1;CVCC;omission;NO;NO;YES;t;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
6;L_we;Lowe;1;8.980.000;458;4;4;2;1;2;CV;substitution;NO;NO;NO;_;o;N;N;N;N;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
7;Tisch;T_sch;1;52.000.000;18.9;5;5;2;1;1;CVCCC;substitution;NO;NO;NO;i;_;N;N;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
8;Bein;Pain;2;23.100.000;481;4;4;"1;2";1;1;CVVC;multierror;NO;YES;NO;"B;e";"P;a";"N;N";"N;N";"N;N";"N;N";"N;N";"N;Y";sound_distinction;;;;;;;;;;;;;;;;;;;;;
9;Bein;Pein;1;23.100.000;481;4;4;1;1;1;CVVC;substitution;YES;YES;NO;B;P;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
10;Bein;Bain;1;23.100.000;584;4;4;2;1;1;CVVC;substitution;NO;NO;NO;e;a;N;N;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
11;Material;Mahterial;1;182.000.000;229;8;9;3;1;"1;2";CVCV;addition;NO;NO;NO;-;h;N;N;N;Y;N;Y;lengthening;;;;;;;;;;;;;;;;;;;;;
12;Schmirgelpapier;Schmiergelpapier;1;167;23.2;15;16;3;1;1;CCCCVC;addition;NO;NO;NO;-;e;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
13;Bleistift;Bleischtôft;3;609;5;9;11;-;-;-;-;multierror;NO;NO;NO;"t;i";"c;h;ô";"N;N";"N;N;N";"N;N";"N;Y;N";"N;N";"N;Y;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
14;Bleistift;Bleischtift;2;609;2.11;9;11;1;1;2;CCVCC;addition;NO;NO;NO;-;"c;h";N;"N;N";N;"N;Y";N;"N;Y";sound_distinction;;;;;;;;;;;;;;;;;;;;;
15;Bleistift;Bleistôft;1;609;138;9;9;7;2;2;CCVCC;substitution;NO;NO;NO;i;ô;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
16;Bohrer;bohrer;1;634;634;6;6;1;1;1;CVC;capital_letter;NO;YES;NO;B;b;N;Y;N;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
17;Holzbrett;Holzbret;1;447;2.04;9;8;8;2;2;CCVCC;omission;NO;NO;YES;t;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
18;schmirgeln;Schmiergeln;2;116;10.3;9;10;"1;6";1;1;CCCCVC;multierror;YES;YES;NO;s;"S;e";N;"N;N";N;"N;N";N;"N;N";sound_sequence;;;;;;;;;;;;;;;;;;;;;
19;schmirgeln;Schmirgeln;1;116;116;9;9;1;1;1;CCCCVC;capital_letter;YES;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
20;schmirgeln;schmiergeln;1;116;10.3;9;10;6;1;1;CCCCVC;addition;NO;NO;NO;-;e;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
21;wenn;wen;1;2.010.000.000;68.400.000;4;3;4;1;1;CVCC;omission;YES;NO;YES;n;-;Y;N;N;N;Y;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
22;gemacht;gehmacht;1;165.000.000;6.77;7;8;3;1;"1;2";CVCVCCC;addition;NO;NO;YES;-;h;N;N;N;Y;N;Y;lengthening;;;;;;;;;;;;;;;;;;;;;
23;Vorlage;vorlage;1;21.900.000;21.900.000;7;7;1;1;1;CVC;capital_letter;NO;YES;NO;V;v;N;Y;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
24;und male;undmale;1;142;248;8;7;-;-;-;-;split_in;NO;NO;NO;_;/;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
25;glôcklich;glôckliech;1;32.800.000;222;9;10;8;2;2;CVCC;addition;NO;NO;NO;-;e;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
26;schwierig;schwirig;1;20.300.000;52.3;9;8;6;1;1;CCCCVV;omission;NO;NO;NO;-;e;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
27;Sachen;sachen;1;66.900.000;66.900.000;6;6;1;1;1;CVCCVC;capital_letter;NO;YES;NO;S;s;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
28;Hubschrauber;hupschrauber;2;5.860.000;2.71;12;12;-;-;-;-;multierror;NO;YES;NO;"H;b";"h;p";"Y;Y";"N;Y";"Y;Y";"Y;Y";"N;Y";"Y;Y";sound_sequence;;;;;;;;;;;;;;;;;;;;;
29;Hubschrauber;Hupschrauber;1;5.860.000;2.71;12;12;3;1;1;CVC;substitution;NO;NO;NO;b;p;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
30;Hubschrauber;hubschrauber;1;5.860.000;5.860.000;12;12;1;1;1;CVC;capital_letter;NO;YES;NO;H;h;Y;N;Y;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
31;eines;seies;2;407.000.000;28.7;5;5;-;-;-;-;multierror;NO;YES;NO;n;s;Y;N;N;N;Y;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
32;eines;eies;1;407.000.000;177;5;4;3;2;2;VVCVC;omission;NO;NO;NO;n;-;Y;N;N;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
33;eines;seines;1;407.000.000;54.300.000;5;6;1;1;1;VVCVC;addition;YES;YES;NO;-;s;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
34;Idee;Edie;2;140.000.000;359;4;4;-;-;-;-;multierror;YES;YES;NO;"I;e";"E;i";"N;N";"N;N";"N;N";"N;N";"N;N";"N;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
35;Idee;Idie;1;140.000.000;191;4;4;3;2;1;VCVV;substitution;NO;NO;NO;e;i;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
36;Idee;Edee;1;140.000.000;96.7;4;4;1;1;1;VCVV;substitution;NO;YES;NO;I;E;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
37;Ideen;ideen;1;62.700.000;62.700.000;5;5;1;1;1;VCVV;capital_letter;NO;YES;NO;I;i;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
38;Holz;Olt;3;82.800.000;387;4;3;-;-;-;-;multierror;YES;YES;YES;"H;o;z";"O;t";"Y;N;N";"N;N";"Y;N;N";"N;N";"N;Y;N";"N;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
39;Holz;Holt;1;82.800.000;53.100.000;4;4;4;1;1;CVCC;substitution;YES;NO;YES;z;t;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
40;Holz;Olz;2;82.800.000;203;4;3;1;1;"1;2";CVCC;omission;NO;YES;NO;H;-;Y;N;Y;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
41;siehst;sihst;1;12.700.000;17.1;6;5;3;1;1;CVVCCC;omission;NO;NO;NO;e;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
42;dir;dier;1;211.000.000;475;3;4;3;1;1;CVC;addition;NO;NO;NO;-;e;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
43;fôhrt;fôrt;1;76.300.000;124;5;4;3;1;1;CVCC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;lengthening;;;;;;;;;;;;;;;;;;;;;
44;entgegen;endgegen;1;30.200.000;15.3;8;8;3;1;1;VCC;substitution;NO;NO;NO;t;d;N;Y;N;Y;N;Y;derivation;;;;;;;;;;;;;;;;;;;;;
45;f_llt;f_lt;1;52.100.000;103;5;4;4;2;1;CVC;omission;NO;NO;NO;l;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
46;ihm;im;1;166.000.000;3.160.000.000;3;2;2;1;1;VCC;omission;YES;NO;NO;h;-;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
